[  1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 856.000 ]
 [  0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1284.000 ]
 [  0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1555.000 ]
 [  0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 2953.000 ]
 [  0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 684.000 ]
 [  0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 2338.000 ]
 [  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 2007.000 ]
 [  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 306.000 ]
 [  0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,-4237.000 ]
 
[  0.000, 1.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000 ]
 [  0.000, 0.000, 1.000, 1.000,-1.000, 1.000, 1.000, 1.000, 1.000 ]
 [ -1.000, 1.000, 1.000,-1.000,-2.000, 1.000, 0.000, 0.000, 0.000 ]
 [ -2.000,-1.000, 0.000, 0.000, 1.000, 0.000, 1.000, 1.000, 1.000 ]
 [ -1.000, 0.000,-2.000, 0.000,-1.000, 1.000, 1.000, 1.000, 1.000 ]
 [  0.000, 1.000,-1.000,-1.000,-1.000,-1.000, 1.000, 0.000,-2.000 ]
 [  1.000, 0.000, 0.000,-1.000, 0.000,-2.000,-1.000, 1.000, 0.000 ]
 [  0.000, 0.000,-1.000,-1.000,-1.000,-2.000, 1.000,-2.000, 1.000 ]
 [  0.000,-1.000,-1.000, 2.000,-2.000, 0.000,-1.000, 1.000,-2.000 ]
 
